127.0.0.1 - - [26/Mar/2024:09:23:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:23:44 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:27:28 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:27:28 +0900] "GET /webPro/images/SiSt.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:27:29 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:27:47 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:28:22 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:29:44 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:29:44 +0900] "GET /webPro/html/images/smiley.gif HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:30:04 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:30:43 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:30:59 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:31:00 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:31:00 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:31:02 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:31:05 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:32:00 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:14 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:15 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:17 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:19 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:21 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:21 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:24 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:27 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:28 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:28 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:29 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:53 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:54 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:54 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:54 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:09:37:59 +0900] "GET /webPro/html/days03/ex03.html HTTP/1.1" 200 487
